SKATESHOP,LAT,LON
Pleasures Shop Milano,"45.4840869","9.1975179"
Rufus,"45.4751942","9.2128274"
Mission,"45.5192520","9.2070851"
Frisco Shop Milano,"45.4576457","9.1810223"
Boardstyle Skateboard Snowboard negozio,"45.5812512","9.1373456"
Radical Shop,"45.4392275","9.1524291"
Skateshop & Coffee Extreme Games,"45.6307921","8.9569961"
Glad store,"44.4068128","8.9393727"
Giffo,"44.4102379","8.9332428"
Sport Legend,"45.181726","9.1922972"
Settestrati Skateshop,"45.4944540","12.2515858"
MUD&WATER store,"45.4423267","12.3344982"
Alternative Shop,"44.8291376","10.3154713"
